id,dex_number,region,slug,description,credit,enabled,catchable,abundance,gender_rate,has_gender_differences,name.ja,name.ja_r,name.ja_t,name.en,name.en2,name.de,name.fr,type.0,type.1,mythical,legendary,ultra_beast,event,height,weight,evo.to,evo.from,base.hp,base.atk,base.def,base.satk,base.sdef,base.spd,evo.mega,evo.mega_x,evo.mega_y,is_form,form_item
12,12,kanto,butterfree,It loves the nectar of flowers and can locate flower patches that have even tiny amounts of pollen.,,1,1,96,4,1,バタフリー,Batafurī,Butterfree,Butterfree,,Smettbo,Papilusion,Bug,Flying,,,,,11,320,,11,60,45,50,90,80,70,,,,,
13,13,kanto,weedle,It eats its weight in leaves every day. It fends off attackers with the needle on its head.,,1,1,1536,4,0,ビードル,Bīdoru,Beedle,Weedle,,Hornliu,Aspicot,Bug,Poison,,,,,3,32,14,,40,35,30,20,20,50,,,,,
14,14,kanto,kakuna,"While awaiting evolution, it hides from predators under leaves and in nooks of branches.",,1,1,384,4,0,コクーン,Kokūn,Cocoon,Kakuna,,Kokuna,Coconfort,Bug,Poison,,,,,6,100,15,13,45,25,50,25,25,35,,,,,
15,15,kanto,beedrill,"Its best attack involves flying around at high speed, striking with poison needles, then flying off.",,1,1,96,4,0,スピアー,Supiā,Spear,Beedrill,,Bibor,Dardargnan,Bug,Poison,,,,,10,295,,14,65,90,40,45,80,75,10090,,,,
16,16,kanto,pidgey,"It is docile and prefers to avoid conflict. If disturbed, however, it can ferociously strike back.",,1,1,1536,4,0,ポッポ,Poppo,Poppo,Pidgey,,Taubsi,Roucool,Normal,Flying,,,,,3,18,17,,40,45,40,35,35,56,,,,,
17,17,kanto,pidgeotto,"It flies over its wide territory in search of prey, downing it with its highly developed claws.",,1,3,384,4,0,ピジョン,Pijon,Pigeon,Pidgeotto,,Tauboga,Roucoups,Normal,Flying,,,,,11,300,18,16,63,60,55,50,50,71,,,,,
18,18,kanto,pidgeot,"By flapping its wings with all its might, Pidgeot can make a gust of wind capable of bending tall trees.",,1,3,96,4,0,ピジョット,Pijotto,Pigeot,Pidgeot,,Tauboss,Roucarnage,Normal,Flying,,,,,15,395,,17,83,80,75,70,70,101,10073,,,,
19,19,kanto,rattata,"It’s cautious in the extreme, and its hardy vitality lets it live in any kind of environment.",,1,1,1024,4,1,コラッタ,Koratta,Koratta,Rattata,,Rattfratz,Rattata,Normal,,,,,,3,35,20,,30,56,35,25,35,72,,,,,
20,20,kanto,raticate,It whittles down its constantly growing fangs by gnawing on hard things. It can chew apart cinder block walls.,,1,1,256,4,1,ラッタ,Ratta,Ratta,Raticate,,Rattikarl,Rattatac,Normal,,,,,,7,185,,19,55,81,60,50,70,97,,,,,
21,21,kanto,spearow,"It flaps its small wings busily to fly. Using its beak, it searches in grass for prey.",,1,2,384,4,0,オニスズメ,Onisuzume,Onisuzume,Spearow,,Habitak,Piafabec,Normal,Flying,,,,,3,20,22,,40,60,30,31,31,70,,,,,
22,22,kanto,fearow,It has the stamina to fly all day on its broad wings. It fights by using its sharp beak.,,1,3,96,4,0,オニドリル,Onidoriru,Onidrill,Fearow,,Ibitak,Rapasdepic,Normal,Flying,,,,,12,380,,21,65,90,65,61,61,100,,,,,
23,23,kanto,ekans,It sneaks through grass without making a sound and strikes unsuspecting prey from behind.,,1,2,384,4,0,アーボ,Ābo,Arbo,Ekans,,Rettan,Abo,Poison,,,,,,20,69,24,,35,60,44,40,54,55,,,,,
24,24,kanto,arbok,The pattern on its belly is for intimidation. It constricts foes while they are frozen in fear.,,1,2,96,4,0,アーボック,Ābokku,Arbok,Arbok,,Arbok,Arbok,Poison,,,,,,35,650,,23,60,95,69,65,79,80,,,,,
25,25,kanto,pikachu,"When several of these Pokémon gather, their electricity can build and cause lightning storms.",,1,1,384,4,1,ピカチュウ,Pikachū,Pikachu,Pikachu,,Pikachu,Pikachu,Electric,,,,,,4,60,26,172,35,55,40,50,50,90,,,,,
26,26,kanto,raichu,"If the electric pouches in its cheeks become fully charged, both ears will stand straight up.",,1,1,96,4,1,ライチュウ,Raichū,Raichu,Raichu,,Raichu,Raichu,Electric,,,,,,8,300,,25,60,90,55,90,80,110,,,,,
27,27,kanto,sandshrew,"To protect itself from attackers, it curls up into a ball. It lives in arid regions with minimal rainfall.",,1,2,384,4,0,サンド,Sando,Sand,Sandshrew,,Sandan,Sabelette,Ground,,,,,,6,120,28,,50,75,85,20,30,40,,,,,
28,28,kanto,sandslash,"It curls up, then rolls into foes with its back. Its sharp spines inflict severe damage.",,1,2,96,4,0,サンドパン,Sandopan,Sandpan,Sandslash,,Sandamer,Sablaireau,Ground,,,,,,10,295,,27,75,100,110,45,55,65,,,,,
29,29,kanto,nidoran-f,"While this Pokémon does not prefer to fight, even one drop of the venom it secretes from its barbs can be fatal.",,1,1,1536,8,0,ニドラン♀,Nidoran♀,Nidoran♀,Nidoran♀️,,Nidoran♀️,Nidoran♀️,Poison,,,,,,4,70,30,,55,47,52,40,40,41,,,,,
30,30,kanto,nidorina,"When it senses danger, it raises all the barbs on its body. These barbs grow more slowly than Nidorino’s.",,1,1,384,8,0,ニドリーナ,Nidorīna,Nidorina,Nidorina,,Nidorina,Nidorina,Poison,,,,,,8,200,31,29,70,62,67,55,55,56,,,,,
31,31,kanto,nidoqueen,Its entire body is armored with hard scales. It will protect the young in its burrow with its life.,,1,1,96,8,0,ニドクイン,Nidokuin,Nidoqueen,Nidoqueen,,Nidoqueen,Nidoqueen,Poison,Ground,,,,,13,600,,30,90,92,87,75,85,76,,,,,
32,32,kanto,nidoran-m,It scans its surroundings by raising its ears out of the grass. Its toxic horn is for protection.,,1,1,1536,0,0,ニドラン♂,Nidoran♂,Nidoran♂,Nidoran♂️,,Nidoran♂️,Nidoran♂️,Poison,,,,,,5,90,33,,46,57,40,40,40,50,,,,,
33,33,kanto,nidorino,"It has a violent disposition and stabs foes with its horn, which oozes venom upon impact.",,1,1,384,0,0,ニドリーノ,Nidorīno,Nidorino,Nidorino,,Nidorino,Nidorino,Poison,,,,,,9,195,34,32,61,72,57,55,55,65,,,,,
34,34,kanto,nidoking,One swing of its mighty tail can snap a telephone pole as if it were a matchstick.,,1,1,96,0,0,ニドキング,Nidokingu,Nidoking,Nidoking,,Nidoking,Nidoking,Poison,Ground,,,,,14,620,,33,81,102,77,85,75,85,,,,,
35,35,kanto,clefairy,"It can be found in quiet mountain areas on a full moon’s night. Its dancing and its tiny, faintly glowing wings confer upon it a lovely fairylike quality.",,1,1,384,6,0,ピッピ,Pippi,Pippi,Clefairy,,Piepi,Mélofée,Fairy,,,,,,6,75,36,173,70,45,48,60,65,35,,,,,
36,36,kanto,clefable,"Legend says that on clear, quiet nights, it listens for the voices of its kin living on the moon. I, too, often think of my homeland, so far away.",,1,1,96,6,0,ピクシー,Pikushī,Pixy,Clefable,,Pixi,Mélodelfe,Fairy,,,,,,13,400,,35,95,70,73,95,90,60,,,,,
37,37,kanto,vulpix,"In its belly burns a fire, which Vulpix spits out in the form of fireballs. When young, this Pokémon has but one white tail. As the Pokémon matures, this single tail splits into six.",,1,1,384,6,0,ロコン,Rokon,Rokon,Vulpix,,Vulpix,Goupix,Fire,,,,,,6,99,38,,38,41,40,50,65,65,,,,,
38,38,kanto,ninetales,The coat of gleaming golden fur is quite magnificent. This species is said to store sacred power in its nine long tails and to live for a millennium.,,1,1,96,6,0,キュウコン,Kyūkon,Kyukon,Ninetales,,Vulnona,Feunard,Fire,,,,,,11,199,,37,73,76,75,81,100,100,,,,,
39,39,kanto,jigglypuff,"If it inflates to sing a lullaby, it can perform longer and cause sure drowsiness in its audience.",,1,1,384,6,0,プリン,Purin,Purin,Jigglypuff,,Pummeluff,Rondoudou,Normal,Fairy,,,,,5,55,40,174,115,45,20,45,25,20,,,,,
40,40,kanto,wigglytuff,"The rich, fluffy fur that covers its body feels so good that anyone who feels it can’t stop touching it.",,1,1,96,6,0,プクリン,Pukurin,Pukurin,Wigglytuff,,Knuddeluff,Grodoudou,Normal,Fairy,,,,,10,120,,39,140,70,45,85,50,45,,,,,
41,41,kanto,zubat,"Makes its home in gloomy caves. Atrophied eyes have left this Pokémon blind, so it scans its surroundings via sound waves that it emits from its mouth as it flies.",,1,2,1536,4,1,ズバット,Zubatto,Zubat,Zubat,,Zubat,Nosferapti,Poison,Flying,,,,,8,75,42,,40,45,35,30,40,55,,,,,
42,42,kanto,golbat,It sinks its sharp fangs into other creatures and slurps up their blood. A closer look at the fangs reveals that they are hollow and akin to straws.,,1,2,384,4,1,ゴルバット,Gorubatto,Golbat,Golbat,,Golbat,Nosferalto,Poison,Flying,,,,,16,550,169,41,75,80,70,65,75,90,,,,,
43,43,kanto,oddish,It often plants its root feet in the ground during the day and sows seeds as it walks about at night.,,1,1,1536,4,0,ナゾノクサ,Nazonokusa,Nazonokusa,Oddish,,Myrapla,Mystherbe,Grass,Poison,,,,,5,54,44,,45,50,55,75,65,30,,,,,
44,44,kanto,gloom,The nectar it drools from its mouth smells so atrocious that it can make noses curl from more than a mile away.,,1,1,384,4,1,クサイハナ,Kusaihana,Kusaihana,Gloom,,Duflor,Ortide,Grass,Poison,,,,,8,86,45 182,43,60,65,70,85,75,40,,,,,
45,45,kanto,vileplume,"Its petals are the largest in the world. As it walks, it scatters extremely allergenic pollen.",,1,1,96,4,1,ラフレシア,Rafureshia,Ruffresia,Vileplume,,Giflor,Rafflesia,Grass,Poison,,,,,12,186,,44,75,80,85,110,90,50,,,,,
46,46,kanto,paras,Sometimes seen at the foot of trees in humid forests. The mushrooms on its back—called tochukaso—are not present on infant specimens and instead emerge as Paras matures.,,1,2,384,4,0,パラス,Parasu,Paras,Paras,,Paras,Paras,Bug,Grass,,,,,3,54,47,,35,70,55,45,55,25,,,,,
47,47,kanto,parasect,"Mushroom-lacking specimens of this Pokémon lie unmoving in the forest, lending credence to the hypothesis that the large mushroom is in control of Parasect’s actions.",,1,2,96,4,0,パラセクト,Parasekuto,Parasect,Parasect,,Parasek,Parasect,Bug,Grass,,,,,10,295,,46,60,95,80,60,80,30,,,,,
48,48,kanto,venonat,"Its eyes act as radar, enabling it to be active in darkness. The eyes can also shoot powerful beams.",,1,2,384,4,0,コンパン,Konpan,Kongpang,Venonat,,Bluzuk,Mimitoss,Bug,Poison,,,,,10,300,49,,60,55,50,40,55,45,,,,,
49,49,kanto,venomoth,"When it attacks, it flaps its large wings violently to scatter its poisonous powder all around.",,1,1,96,4,0,モルフォン,Morufon,Morphon,Venomoth,,Omot,Aéromite,Bug,Poison,,,,,15,125,,48,70,65,60,90,75,90,,,,,
50,50,kanto,diglett,"Its skin is very thin. If it is exposed to light, its blood heats up, causing it to grow weak.",,1,1,384,4,0,ディグダ,Diguda,Digda,Diglett,,Digda,Taupiqueur,Ground,,,,,,2,8,51,,10,55,25,35,45,95,,,,,
51,51,kanto,dugtrio,"In battle, it digs through the ground and strikes the unsuspecting foe from an unexpected direction.",,1,2,96,4,0,ダグトリオ,Dagutorio,Dugtrio,Dugtrio,,Digdri,Triopikeur,Ground,,,,,,7,333,,50,35,100,50,50,70,120,,,,,
52,52,kanto,meowth,"It loves things that sparkle. When it sees a shiny object, the gold coin on its head shines, too.",,1,1,384,4,0,ニャース,Nyāsu,Nyarth,Meowth,,Mauzi,Miaouss,Normal,,,,,,4,42,53,,40,45,35,40,40,90,,,,,
53,53,kanto,persian,It has a vicious temperament. Beware if it raises its tail straight up. This is a signal that it is about to pounce and bite.,,1,1,96,4,0,ペルシアン,Perushian,Persian,Persian,,Snobilikat,Persian,Normal,,,,,,10,320,,52,65,70,60,65,65,115,,,,,
54,54,kanto,psyduck,"If its chronic headache peaks, it may exhibit odd powers. It seems unable to recall such an episode.",,1,1,384,4,0,コダック,Kodakku,Koduck,Psyduck,,Enton,Psykokwak,Water,,,,,,8,196,55,,50,52,48,65,50,55,,,,,
55,55,kanto,golduck,"It swims gracefully along on the quiet, slow-moving rivers and lakes of which it is so fond.",,1,1,96,4,0,ゴルダック,Gorudakku,Golduck,Golduck,,Entoron,Akwakwak,Water,,,,,,17,766,,54,80,82,78,95,80,85,,,,,
56,56,kanto,mankey,"It is extremely quick to anger. It could be docile one moment, then thrashing away the next instant.",,1,2,384,4,0,マンキー,Mankī,Mankey,Mankey,,Menki,Férosinge,Fighting,,,,,,5,280,57,,40,80,35,35,45,70,,,,,
57,57,kanto,primeape,Some researchers theorize that Primeape remains angry even when inside a Poké Ball.,,1,2,96,4,0,オコリザル,Okorizaru,Okorizaru,Primeape,,Rasaff,Colossinge,Fighting,,,,,,10,320,,56,65,105,60,60,70,95,,,,,
58,58,kanto,growlithe,It’s very friendly and faithful to people. It will try to repel enemies by barking and biting.,,1,2,384,2,0,ガーディ,Gādi,Gardie,Growlithe,,Fukano,Caninos,Fire,,,,,,7,190,59,,55,70,45,70,50,60,,,,,
59,59,kanto,arcanine,Its magnificent bark conveys a sense of majesty. Anyone hearing it can’t help but grovel before it.,,1,2,96,2,0,ウインディ,Uindi,Windie,Arcanine,,Arkani,Arcanin,Fire,,,,,,19,1550,,58,90,110,80,100,80,95,,,,,
60,60,kanto,poliwag,"Its skin is so thin, its internal organs are visible. It has trouble walking on its newly grown feet.",,1,1,1536,4,0,ニョロモ,Nyoromo,Nyoromo,Poliwag,,Quapsel,Ptitard,Water,,,,,,6,124,61,,40,50,40,40,40,90,,,,,
61,61,kanto,poliwhirl,The spiral pattern on its belly subtly undulates. Staring at it gradually causes drowsiness.,,1,1,384,4,0,ニョロゾ,Nyorozo,Nyorozo,Poliwhirl,,Quaputzi,Têtarte,Water,,,,,,10,200,62 186,60,65,65,65,50,50,90,,,,,
62,62,kanto,poliwrath,"With its extremely tough muscles, it could keep swimming in the Pacific Ocean without resting.",,1,1,96,4,0,ニョロボン,Nyorobon,Nyorobon,Poliwrath,,Quappo,Tartard,Water,Fighting,,,,,13,540,,61,90,95,95,70,90,70,,,,,
63,63,kanto,abra,"Spends 18 hours of the day sleeping. Even while asleep, Abra can control its psychic powers—should danger approach, the Pokémon will simply teleport away.",,1,2,1536,2,0,ケーシィ,Kēshī,Casey,Abra,,Abra,Abra,Psychic,,,,,,9,195,64,,25,20,15,105,55,90,,,,,
64,64,kanto,kadabra,"There are rumors that a child with mystical powers became a Kadabra; however, this remains unverified. I suspect that the spoon Kadabra holds enhances its brain waves.",,1,2,384,2,1,ユンゲラー,Yungerā,Yungerer,Kadabra,,Kadabra,Kadabra,Psychic,,,,,,13,565,65,63,40,35,30,120,70,105,,,,,
65,65,kanto,alakazam,"The longer Alakazam lives, the larger and heavier its head becomes. Our tests have shown that the strength of its psychic powers correlates positively to the weight of its head.",,1,2,96,2,1,フーディン,Fūdin,Foodin,Alakazam,,Simsala,Alakazam,Psychic,,,,,,15,480,,64,55,50,45,135,95,120,10037,,,,
66,66,kanto,machop,"Though as small as a child, it has strength enough to easily throw a well-built adult. Striving to become ever stronger, Machop trains by carrying a Graveler on its shoulders.",,1,1,1536,2,0,ワンリキー,Wanrikī,Wanriky,Machop,,Machollo,Machoc,Fighting,,,,,,8,195,67,,70,80,50,35,35,35,,,,,
67,67,kanto,machoke,A sturdy creature boasting a robust physique and boundless stamina. Loves training above all else and voluntarily assists with tasks such as construction and clearing land.,,1,2,384,2,0,ゴーリキー,Gōrikī,Goriky,Machoke,,Maschock,Machopeur,Fighting,,,,,,15,705,68,66,80,100,70,50,60,45,,,,,
68,68,kanto,machamp,"In close combat, its four arms afford it offensive and defensive supremacy. In but a blink, this valiant Pokémon can overwhelm its foes with more than 1,000 blows from its fists.",,1,2,96,2,0,カイリキー,Kairikī,Kairiky,Machamp,,Machomei,Mackogneur,Fighting,,,,,,16,1300,,67,90,130,80,65,85,55,,,,,
69,69,kanto,bellsprout,It prefers hot and humid environments. It is quick at capturing prey with its vines.,,1,1,1536,4,0,マダツボミ,Madatsubomi,Madatsubomi,Bellsprout,,Knofensa,Chétiflor,Grass,Poison,,,,,7,40,70,,50,75,35,70,30,40,,,,,
70,70,kanto,weepinbell,This Pokémon has the appearance of a plant. It captures unwary prey by dousing them with a toxic powder.,,1,1,384,4,0,ウツドン,Utsudon,Utsudon,Weepinbell,,Ultrigaria,Boustiflor,Grass,Poison,,,,,10,64,71,69,65,90,50,85,45,55,,,,,
71,71,kanto,victreebel,"In its mouth, it pools a fragrant nectar-like fluid. The fluid is really an acid that dissolves anything.",,1,1,96,4,0,ウツボット,Utsubotto,Utsubot,Victreebel,,Sarzenia,Empiflor,Grass,Poison,,,,,17,155,,70,80,105,65,100,70,70,,,,,
72,72,kanto,tentacool,"They fire beams from the glassy, magenta orbs that resemble eyes atop their heads, and they drift in shallow seas. During low tide, they can sometimes be found on beaches, desiccated.",,1,1,384,4,0,メノクラゲ,Menokurage,Menokurage,Tentacool,,Tentacha,Tentacool,Water,Poison,,,,,9,455,73,,40,40,35,50,100,70,,,,,
73,73,kanto,tentacruel,"It has 80 tentacles, each with a venomous tip. These tentacles are also extendible, lengthening when Tentacruel attempts to catch prey. Use caution.",,1,1,96,4,0,ドククラゲ,Dokukurage,Dokukurage,Tentacruel,,Tentoxa,Tentacruel,Water,Poison,,,,,16,550,,72,80,70,65,80,120,100,,,,,
74,74,kanto,geodude,"Makes its home in mountainous regions, using its arms to climb along harsh mountain roads. Can be troublesome—carelessly kicking one will cause it to fly into a rage and chase after you.",,1,2,1536,4,0,イシツブテ,Ishitsubute,Isitsubute,Geodude,,Kleinstein,Racaillou,Rock,Ground,,,,,4,200,75,,40,80,100,30,30,20,,,,,
75,75,kanto,graveler,"Dwells in holes dug into sheer walls of stone. It enjoys rolling down slopes as though it were a boulder during a rockfall, so keep an eye upward while traversing mountain roads.",,1,2,384,4,0,ゴローン,Gorōn,Golone,Graveler,,Georok,Gravalanch,Rock,Ground,,,,,10,1050,76,74,55,95,115,45,45,35,,,,,
76,76,kanto,golem,"The rocklike shell is shed each year. The cast-off shell then crumbles, reverting to a mass of soil, which can be spread across fields to promote crop growth.",,1,2,96,4,0,ゴローニャ,Gorōnya,Golonya,Golem,,Geowaz,Grolem,Rock,Ground,,,,,14,3000,,75,80,120,130,55,65,45,,,,,
77,77,kanto,ponyta,"These Pokémon live in herds out in the grassland. Newborn foals lack their fiery manes, which will develop about an hour after birth.",,1,1,384,4,0,ポニータ,Ponīta,Ponyta,Ponyta,,Ponita,Ponyta,Fire,,,,,,10,300,78,,50,85,55,65,65,90,,,,,
78,78,kanto,rapidash,"Fiery mane aglow, Rapidash darts like an arrow across the land. This prodigiously swift creature can traverse the vast region of Hisui in a day and a half.",,1,1,96,4,0,ギャロップ,Gyaroppu,Gallop,Rapidash,,Gallopa,Galopa,Fire,,,,,,17,950,,77,65,100,70,80,80,105,,,,,
79,79,kanto,slowpoke,"It is always vacantly lost in thought, but no one knows what it is thinking about. It is good at fishing with its tail.",,1,1,384,4,0,ヤドン,Yadon,Yadon,Slowpoke,,Flegmon,Ramoloss,Water,Psychic,,,,,12,360,80 199,,90,65,65,40,40,15,,,,,
80,80,kanto,slowbro,"If the tail-biting Shellder is thrown off in a harsh battle, this Pokémon reverts to being an ordinary Slowpoke.",,1,1,96,4,0,ヤドラン,Yadoran,Yadoran,Slowbro,,Lahmus,Flagadoss,Water,Psychic,,,,,16,785,,79,95,75,110,100,80,30,10071,,,,
81,81,kanto,magnemite,It moves while constantly hovering. It discharges electromagnetic waves and so on from the units at its sides.,,1,1,1536,-1,0,コイル,Koiru,Coil,Magnemite,,Magnetilo,Magnéti,Electric,Steel,,,,,3,60,82,,25,35,70,95,55,45,,,,,
82,82,kanto,magneton,They’re formed by several Magnemite linked together. They frequently appear when sunspots flare up.,,1,1,384,-1,0,レアコイル,Reakoiru,Rarecoil,Magneton,,Magneton,Magnéton,Electric,Steel,,,,,10,600,462,81,50,60,95,120,70,70,,,,,
83,83,kanto,farfetchd,It can’t live without the stalk it holds. That’s why it defends the stalk from attackers with its life.,,1,1,96,4,0,カモネギ,Kamonegi,Kamonegi,Farfetch'd,,Porenta,Canarticho,Normal,Flying,,,,,8,150,,,52,90,55,58,62,60,,,,,
84,84,kanto,doduo,The brains in its two heads appear to communicate emotions to each other with a telepathic power.,,1,1,384,4,1,ドードー,Dōdō,Dodo,Doduo,,Dodu,Doduo,Normal,Flying,,,,,14,392,85,,35,85,45,35,35,75,,,,,
85,85,kanto,dodrio,"When Doduo evolves into this odd breed, one of its heads splits into two. This Pokémon runs at nearly 40 mph.",,1,1,96,4,1,ドードリオ,Dōdorio,Dodorio,Dodrio,,Dodri,Dodrio,Normal,Flying,,,,,18,852,,84,60,110,70,60,60,110,,,,,
86,86,kanto,seel,This Pokémon lives on icebergs. It uses the sharp point on its head to break up ice as it swims in the sea.,,1,1,384,4,0,パウワウ,Pauwau,Pawou,Seel,,Jurob,Otaria,Water,,,,,,11,900,87,,65,45,55,45,70,45,,,,,
87,87,kanto,dewgong,"In snow, the pure white coat covering its body obscures it from predators.",,1,1,96,4,0,ジュゴン,Jugon,Jugon,Dewgong,,Jugong,Lamantine,Water,Ice,,,,,17,1200,,86,90,70,80,70,95,70,,,,,
88,88,kanto,grimer,"When two of these Pokémon’s bodies are combined together, new poisons are created.",,1,2,384,4,0,ベトベター,Betobetā,Betbeter,Grimer,,Sleima,Tadmorv,Poison,,,,,,9,300,89,,80,80,50,40,50,25,,,,,
89,89,kanto,muk,"It’s so stinky! Muk’s body contains toxic elements, and any plant will wilt when it passes by.",,1,2,96,4,0,ベトベトン,Betobeton,Betbeton,Muk,,Sleimok,Grotadmorv,Poison,,,,,,12,300,,88,105,105,75,65,100,50,,,,,
90,90,kanto,shellder,"Clamping on to an opponent reveals its vulnerable parts, so it uses this move only as a last resort.",,1,2,384,4,0,シェルダー,Sherudā,Shellder,Shellder,,Muschas,Kokiyas,Water,,,,,,3,40,91,,30,65,100,45,25,40,,,,,
91,91,kanto,cloyster,"When attacked, it launches its spikes in quick volleys. Its innards have never been seen.",,1,2,96,4,0,パルシェン,Parushen,Parshen,Cloyster,,Austos,Crustabri,Water,Ice,,,,,15,1325,,90,50,95,180,85,45,70,,,,,
92,92,kanto,gastly,"Its body is made of gas. Despite lacking substance, it can envelop an opponent of any size and cause suffocation.",,1,2,1536,4,0,ゴース,Gōsu,Ghos,Gastly,,Nebulak,Fantominus,Ghost,Poison,,,,,13,1,93,,30,35,30,100,35,80,,,,,
93,93,kanto,haunter,"In total darkness, where nothing is visible, Haunter lurks, silently stalking its next victim.",,1,2,384,4,0,ゴースト,Gōsuto,Ghost,Haunter,,Alpollo,Spectrum,Ghost,Poison,,,,,16,1,94,92,45,50,45,115,55,95,,,,,
94,94,kanto,gengar,"Hiding in people’s shadows at night, it absorbs their heat. The chill it causes makes the victims shake.",,1,2,96,4,0,ゲンガー,Gengā,Gangar,Gengar,,Gengar,Ectoplasma,Ghost,Poison,,,,,15,405,,93,60,65,60,130,75,110,10038,,,,
95,95,kanto,onix,"This chain of immense stones resembles a giant serpent. Tremors shake the earth above as it burrows deep beneath the ground, feeding on boulders as it goes.",,1,2,384,4,0,イワーク,Iwāku,Iwark,Onix,,Onix,Onix,Rock,Ground,,,,,88,2100,208,,35,45,160,30,45,70,,,,,
96,96,kanto,drowzee,"When it twitches its nose, it can tell where someone is sleeping and what that person is dreaming about.",,1,2,384,4,0,スリープ,Surīpu,Sleepe,Drowzee,,Traumato,Soporifik,Psychic,,,,,,10,324,97,,60,48,45,43,90,42,,,,,
97,97,kanto,hypno,"Always holding a pendulum that it swings at a steady rhythm, it causes drowsiness in anyone nearby.",,1,2,96,4,1,スリーパー,Surīpā,Sleeper,Hypno,,Hypno,Hypnomade,Psychic,,,,,,16,756,,96,85,73,70,73,115,67,,,,,
98,98,kanto,krabby,It lives in burrows dug on sandy beaches. Its pincers fully grow back if they are lost in battle.,,1,2,384,4,0,クラブ,Kurabu,Crab,Krabby,,Krabby,Krabby,Water,,,,,,4,65,99,,30,105,90,25,25,50,,,,,
99,99,kanto,kingler,"The larger pincer has 10,000-horsepower strength. However, it is so heavy, it is difficult to aim.",,1,2,96,4,0,キングラー,Kingurā,Kingler,Kingler,,Kingler,Krabboss,Water,,,,,,13,600,,98,55,130,115,50,50,75,,,,,
100,100,kanto,voltorb,"It’s usually found in power plants. Easily mistaken for a Poké Ball, it has zapped many people.",,1,1,384,-1,0,ビリリダマ,Biriridama,Biriridama,Voltorb,,Voltobal,Voltorbe,Electric,,,,,,5,104,101,,40,30,50,55,55,100,,,,,
